# Plan de cuentas de CADINC exportado de Finnegans (lo mandó el estudio contable, 24/09/2026).
# Códigos convertidos a formato con puntos: 1110101 -> 1.1.1.01.01 (segmentos 1-1-1-2-2). La 4 «RESULTADO DEL PERIODO» es rubro resultado (título).
codigo;nombre;rubro;imputable;auxiliar
1;ACTIVO;activo;NO;
1.1;ACTIVO CORRIENTE;activo;NO;
1.1.1;CAJA Y BANCOS;activo;NO;
1.1.1.01;CAJAS;activo;NO;
1.1.1.01.01;Caja;activo;SI;
1.1.1.01.02;libre.;activo;SI;
1.1.1.01.05;Caja en Moneda Extranjera;activo;SI;
1.1.1.01.06;Valores a depositar;activo;SI;
1.1.1.02;BANCOS;activo;NO;
1.1.1.02.01;Banco Mercado pago;activo;SI;
1.1.1.02.02;Banco Galicia;activo;SI;
1.1.1.02.03;FCI GALICIA;activo;SI;
1.1.1.02.04;Banco nacion c/560;activo;SI;
1.1.1.02.05;BANCO NACION c/606;activo;SI;
1.1.1.02.06;Banco nacion C/590;activo;SI;
1.1.1.02.07;Banco Nacion USS c/583;activo;SI;
1.1.1.02.08;Banco Galicia USS c/397;activo;SI;
1.1.1.02.09;Banco macro c/c;activo;SI;
1.1.2;INVERSIONES TEMPORARIAS;activo;NO;
1.1.2.01;INVERSIONES EN ACCIONES;activo;NO;
1.1.2.01.01;Acciones;activo;SI;
1.1.2.02;DEPÓSITOS A PLAZO FIJO;activo;NO;
1.1.2.02.01;Depósitos a Plazo Fijo en pesos;activo;SI;
1.1.2.02.02;Depósitos a Plazo Fijo en moneda extranjera;activo;SI;
1.1.3;CREDITOS POR VENTAS CORRIENTES;activo;NO;
1.1.3.01;DEUDORES EN CTA. CTE.;activo;NO;
1.1.3.01.01;Deudores locales;activo;SI;cliente
1.1.3.01.02;Deudores del exterior;activo;SI;cliente
1.1.3.02;Banco Galicia Cta Cte $ Diferidos;activo;SI;
1.1.3.03;Impuesto a las ganancias saldo a favor;activo;SI;
1.1.4;OTROS CREDITOS CORRIENTES;activo;NO;
1.1.4.01;CRÉDITOS IMPOSITIVOS CORRIENTES;activo;NO;
1.1.4.01.01;Anticipos Impuesto a las Ganancias;activo;SI;
1.1.4.01.02;Saldo a Favor IIBB;activo;SI;
1.1.4.01.03;Percepciones y Retenciones Impto. a las Ganancias;activo;SI;
1.1.4.01.04;Percepciones y Retenciones Impto. a los IIBB;activo;SI;
1.1.4.01.05;IVA Crédito Fiscal;activo;SI;
1.1.4.01.06;Impu deb y cred. anticipo de ganancias;activo;SI;
1.1.4.01.07;IVA Saldo a Favor Técnico;activo;SI;
1.1.4.01.08;Ret y Perc. Tem;activo;SI;
1.1.4.01.09;IVA Saldo a Favor de Libre Disponibilidad;activo;SI;
1.1.4.01.10;Percepciones y Retenciones de IVA;activo;SI;
1.1.4.01.11;Crédito por quebrantos imposit. no utiliz. (Ctes.);activo;SI;
1.1.4.01.12;ITC COMPUTABLE;activo;SI;
1.1.4.01.13;Saldo a favor IIBB Buenos Aires;activo;SI;
1.1.4.01.14;Saldo a favor IIBB Cordoba;activo;SI;
1.1.4.01.15;Saldo a favor IIBB Entre Rios;activo;SI;
1.1.4.01.16;Saldo a favor IIBB La Pampa;activo;SI;
1.1.4.01.17;Saldo a favor IIBB Mendoza;activo;SI;
1.1.4.02;CREDITOS DIVERSOS CORRIENTES;activo;NO;
1.1.4.02.01;Cuentas Particulares Directores;activo;SI;
1.1.4.02.02;Retenciones de SUSS;activo;SI;
1.1.4.02.03;Cuentas particulares Accionistas (Ctes.);activo;SI;
1.1.4.02.04;Anticipos a Proveedores (No cong.precio);activo;SI;
1.1.4.02.05;Anticipos de Sueldos;activo;SI;
1.1.4.02.06;Saldo a favor SUSS;activo;SI;
1.1.4.02.07;Depósitos pendientes de acreditación;activo;SI;
1.1.4.02.08;Arrendamiento pagado por adelantado;activo;SI;
1.1.4.02.09;Cuentas Particulares Directores (Franco Leiro);activo;SI;
1.1.5;BIENES DE CAMBIO;activo;NO;
1.1.5.01;MERCADERÍAS;activo;NO;
1.1.5.01.01;Mercaderías;activo;SI;
1.1.5.02;MATERIALES DE CONSTRUCCIÓN;activo;NO;
1.1.5.02.01;Arenas y piedras (Cte.);activo;SI;
1.1.5.02.02;Fierro y alambre (Cte.);activo;SI;
1.1.5.02.03;Cementos, cales y aditivos (Cte.);activo;SI;
1.1.5.02.04;Ladrillos y bloques (Ctes.);activo;SI;
1.1.5.02.05;Materiales eléctrios (Ctes.);activo;SI;
1.1.5.02.06;Mat. p/ la instalación de agua y desagüe (Ctes.);activo;SI;
1.1.5.02.07;Equipo de computacion;activo;SI;
1.1.5.02.08;Revestimientos;activo;SI;
1.1.5.02.09;Aberturas y cerramientos;activo;SI;
1.1.5.03;SUMINISTROS DIVERSOS;activo;NO;
1.1.5.03.01;Agregados (Cte.);activo;SI;
1.1.5.03.02;Combustibles y lubricantes (Ctes.);activo;SI;
1.1.5.03.03;Pintura;activo;SI;
1.1.5.03.04;Repuestos;activo;SI;
1.1.6;OTROS ACTIVOS CORRIENTES;activo;SI;
1.2;ACTIVO NO CORRIENTE;activo;NO;
1.2.1;INVERSIONES PERMANENTES;activo;NO;
1.2.1.01;BONOS DE DEUDA;activo;NO;
1.2.1.01.01;Libre;activo;SI;
1.2.1.01.02;Bonex;activo;SI;
1.2.1.02;DEPÓSITOS A PLAZO FIJO NO CTE.;activo;NO;
1.2.1.02.01;Depósitos a plazo fijo en pesos (no cte.);activo;SI;
1.2.1.02.02;Depósitos a plazo fijo en mon. ext. (no cte.);activo;SI;
1.2.1.03;INVERSIONES EN BIENES DEPRECIABLES;activo;NO;
1.2.1.03.01;Invers. en Inmuebles Valores Originales;activo;SI;
1.2.1.03.02;Invers. en Inmuebles Actualizaciones;activo;SI;
1.2.1.03.03;Amortizaciones Acumuladas Invers. en Inmuebles;activo;SI;
1.2.2;BIENES DE USO;activo;NO;
1.2.2.01;INMUEBLES;activo;NO;
1.2.2.01.01;Inmuebles Valores originales;activo;SI;
1.2.2.01.02;Inmuebles Actualizaciones;activo;SI;
1.2.2.01.03;Amortizaciones Acumuladas Inmuebles;activo;SI;
1.2.2.02;MAQUINARIAS Y EQUIPOS;activo;NO;
1.2.2.02.01;Maquinarias y Eq. Valores de origen;activo;SI;
1.2.2.02.02;Maquinarias y Eq. Actualizaciones;activo;SI;
